JobID,Jobtitle,Companies,Locations,Experience,Skills,Salary,Reviews,Age of post,Job type,Logo,Rating,Job Description
3351,lead data architect - ml,futurestep recruitment services private limited,['bangalore/bengaluru'],10-16 yrs,"['it skills', 'python', 'software development', 'testing', 'quality assurance', 'machine learning', 'artificial intelligence', 'data transformation']",not disclosed,0,2 days ago,hot job,logo present,0,thrive in a fast-paced environment and willing to shift priorities seamlesslyexperience...
3352,data platform engineering lead,natwest group,['chennai'],4-8 yrs,"['java', 'nosql', 'python']",not disclosed,31,22 days ago,premium,logo present,3.8,join us as a data platform engineering leadthis is an exciting opportunity to use your ...
3353,data platform engineer,natwest group,['new delhi'],4-8 yrs,"['aws', 'python', 'sql']",not disclosed,31,22 days ago,premium,logo present,3.8,join us as a data platform engineerwe're seeking a talented data platform engineer to b...
3354,data platform engineering lead,natwest group,['new delhi'],5-10 yrs,"['java', 'data wrangling', 'python']",not disclosed,31,22 days ago,hot job,logo present,3.8,join us as a data platform engineering leadthis is an exciting opportunity to use your ...
3355,application architect ( big data ),prevalent ai india private limited,"['kochi/cochin', ' kakinada']",8-13 yrs,"['it skills', 'python', 'machine learning', 'big data', 'computer science', 'performance tuning', 'linux', 'coding']",not disclosed,0,23 days ago,premium,no logo,0,role purpose key accountabilities: the role of the application architect (big data) is ...
3356,data science-sba,astha baid,"['chennai', ' bangalore/bengaluru', ' delhi / ncr']",2-5 yrs,"['sql', 'python', 'nlp', 'pytorch', 'statistical hypothesis testing', 'machine learning', 'it skills', 'data science']","6,00,000 - 15,00,000 pa.",0,23 days ago,none,no logo,0,work with product manager(owner)/senior analysts / consultant to understand the product...
3357,senior data engineer - java development,intelizest consulting,['chennai'],11-16 yrs,"['it skills', 'java', 'python', 'devops', 'product management', 'aws', 'application designing', 'system design']",not disclosed,0,30+ days ago,premium,no logo,0,"3+ years of experience working within an agilescrum and cicd environment, using tddbdd ..."
3358,data engineering application developer,accenture solutions pvt ltd,['chennai'],4-6 yrs,"['product management', 'business process', 'metadata', 'data modeling', 'consulting', 'machine learning', 'scala', 'open source']",not disclosed,16912,27 days ago,premium,logo present,3.9,educational qualification : minimum 15 years of full time education professional attrib...
3359,data platform engineering lead,natwest group,['delhi / ncr'],4-8 yrs,"['spark', 'hadoop', 'kafka']",not disclosed,31,28 days ago,hot job,logo present,3.8,join us as a data platform engineering leadthis is an exciting opportunity to use your ...
3360,data engineering application developer,accenture solutions pvt ltd,['chennai'],4-6 yrs,"['data integration', 'scala', 'hbase', 'spark', 'data modeling', 'python', 'bi analytics', 'communication']",not disclosed,16912,29 days ago,premium,logo present,3.9,educational qualification : minimum 15 years of full time education professional attrib...
3361,application architect ( big data ),prevalent ai india private limited,"['kochi/cochin', ' kakinada']",8-13 yrs,"['it skills', 'python', 'machine learning', 'big data', 'computer science', 'performance tuning', 'linux', 'coding']",not disclosed,0,23 days ago,premium,no logo,0,role purpose key accountabilities: the role of the application architect (big data) is ...
3362,data science-sba,astha baid,"['chennai', ' bangalore/bengaluru', ' delhi / ncr']",2-5 yrs,"['sql', 'python', 'nlp', 'pytorch', 'statistical hypothesis testing', 'machine learning', 'it skills', 'data science']","6,00,000 - 15,00,000 pa.",0,23 days ago,none,no logo,0,work with product manager(owner)/senior analysts / consultant to understand the product...
3363,senior data engineer - java development,intelizest consulting,['chennai'],11-16 yrs,"['it skills', 'java', 'python', 'devops', 'product management', 'aws', 'application designing', 'system design']",not disclosed,0,30+ days ago,premium,no logo,0,"3+ years of experience working within an agilescrum and cicd environment, using tddbdd ..."
3364,data platform engineering lead,natwest group,['delhi / ncr'],4-8 yrs,"['spark', 'hadoop', 'kafka']",not disclosed,31,28 days ago,hot job,logo present,3.8,join us as a data platform engineering leadthis is an exciting opportunity to use your ...
3365,senior data engineer - java development,intelizest consulting,['chennai'],11-16 yrs,"['java', 'application designing', 'system design', 'microservices architecture', 'paas', 'data infrastructure', 'data architect', 'ci/cd']",not disclosed,0,30 days ago,premium,no logo,0,"3+ years of experience working within an agilescrum and cicd environment, using tddbdd ..."
3366,aws cloud data architect - jd - t2 innovations,t2 innovations,['chennai'],7-11 yrs,"['ms sql', 'networking', 'data architect', 'mysql', 'consulting', 'agile', 'network security', 'oracle']",not disclosed,0,30 days ago,none,no logo,0,roles responsibilities understand customer requirements and render those as architectur...
3367,aws cloud data architect - jd,t2 innovations,"['chennai', ' chennai']",7-11 yrs,"['ms sql', 'networking', 'data architect', 'mysql', 'consulting', 'agile', 'network security', 'html']",not disclosed,0,30+ days ago,none,no logo,0,roles responsibilities understand customer requirements and render those as architectur...
3368,data visualization specialist,crunch.io,['remote'],2-7 yrs,"['it skills', 'python', 'data science', 'machine learning', 'javascript', 'graphics', 'data analysis', 'coding']",not disclosed,0,30+ days ago,none,logo present,0,"in this role, you will lead data-driven decisionmaking with the team about which langua..."
3369,cloud architect(azure/java) opportunity in hexaware tech- any location,hexaware technologies ltd.,"['noida', ' hyderabad/secunderabad', ' pune', ' gurgaon/gurugram', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",10-18 yrs,"['java', 'zachman', 'finance', 'scripting languages', 'programming', '.net', 'microsoft azure', 'service design']",not disclosed,1504,30+ days ago,premium,logo present,3.4,"experience with multi-geography, multi-tier service design and management experience wi..."
3370,chief data artist : design data products,careerxperts consulting,['india'],4-9 yrs,"['computer science', 'text mining', 'cloud computing', 'c++', 'operations research', 'data science', 'consulting', 'machine learning']",not disclosed,0,30+ days ago,none,no logo,0,at least 4 years of leadership experience in mobile or web companiesyou are result and ...
3371,senior data engineer - java development,intelizest consulting,['chennai'],11-16 yrs,"['java', 'nosql', 'solr', 'junit', 'cassandra', 'mysql', 'spring boot', 'json']",not disclosed,0,16 days ago,premium,no logo,0,immediate joinee in chennai location>looking for a software engineer to join our custom...
3372,manager data engineering analytics,tata steel mining limited,['bhubaneswar'],6-11 yrs,"['data engineering', 'data visualisation', 'aws/ gcp', 'bapi', 'data scientist', 'badi', 'cloud infrastructure', 'analytics']",not disclosed,15,16 days ago,hot job,no logo,3.9,purpose of the job interact with business users to identify digital / it initiatives wh...
3373,research analyst,janes,['bangalore/bengaluru'],0-3 yrs,"['procurement', 'market analysis', 'data analysis', 'automation', 'french', 'aerospace', 'analytical', 'spanish']",not disclosed,0,none,none,no logo,0,the ideal skills and experience for this role are
3374,data science engineer,bigshyft hiring for nextgen invent corporation,['none'],4-8 yrs,"['data science', 'artificial intelligence ai', 'data structures', 'machine learning ml', 'python']","15,00,000 - 30,00,000 pa.",0,30+ days ago,premium,logo present,0,what you'll do:you'll be expected to work closely with other team members and mentor ju...
3375,data analyst - delhi ncr,benchire,['delhi / ncr'],3-8 yrs,"['ai', 'tableau', 'statistics', 'analytics', 'statistical models', 'numpy', 'sql', 'panda']",not disclosed,0,21 days ago,premium,no logo,0,capability to clearly understand and articulate a data science problem and lead multipl...
3376,data engineering lead,natwest group,['delhi / ncr'],8-10 yrs,"['aws redshift', 'snowflake', 'postgres']",not disclosed,31,22 days ago,premium,logo present,3.8,"good knowledge of cloud technologies such as amazon web services, google cloud platform..."
3377,data engineer,natwest group,['new delhi'],4-9 yrs,"['java', 'hadoop', 'spark']",not disclosed,31,22 days ago,hot job,logo present,3.8,good critical thinking and proven problem solving abilitiesgood knowledge of cloud tech...
3378,data engineering lead,natwest group,['chennai'],5-7 yrs,"['java', 'hadoop', 'spark']",not disclosed,31,22 days ago,hot job,logo present,3.8,"good knowledge of cloud technologies such as amazon web services, google cloud platform..."
3379,data engineer,natwest group,['chennai'],4-6 yrs,"['java', 'hadoop', 'spark']",not disclosed,31,22 days ago,hot job,logo present,3.8,good critical thinking and proven problem solving abilitiesgood knowledge of cloud tech...
3380,data engineering application developer,accenture solutions pvt ltd,['chennai'],4-6 yrs,"['product management', 'business process', 'metadata', 'data modeling', 'consulting', 'machine learning', 'scala', 'open source']",not disclosed,16912,27 days ago,premium,logo present,3.9,educational qualification : minimum 15 years of full time education professional attrib...
3381,data analyst - python/sql,change leaders,['ghaziabad'],5-9 yrs,"['unix', 'sas', 'data analyst', 'business analytics', 'data analytics', 'sql', 'python']",not disclosed,0,28 days ago,hot job,no logo,0,be / btech/ bsc from reputable institute - with exposure to mathematics and programming...
3382,product analyst,lenskart,"['faridabad', ' delhi / ncr']",0-2 yrs,"['algorithms', 'product analysis', 'python', 'data collection']",not disclosed,701,28 days ago,none,logo present,3.1,bachelors of compscience/ engineering/ information systems from a top tier institute0 t...
3383,product analyst,lenskart,"['faridabad', ' delhi / ncr']",0-2 yrs,"['algorithms', 'product analysis', 'python', 'data collection']",not disclosed,701,28 days ago,preferred,logo present,3.1,bachelors of compscience/ engineering/ information systems from a top tier institute0 t...
3384,research analyst,janes,['bangalore/bengaluru'],0-3 yrs,"['training', 'market analysis', 'data modeling', 'analytical', 'research', 'research analyst', 'forecasting', 'secondary research']",not disclosed,0,none,none,no logo,0,"in addition, applicants should have a proven ability to build networks, conduct intervi..."
3385,"consulting analyst, pharma pricing and market access (3 positions)",market access consultancy,['bangalore/bengaluru'],0-5 yrs,"['health economics', 'secondary research', 'clinical research', 'pharma', 'market access', 'consulting', 'pricing', 'data analysis']","5,00,000 - 9,00,000 pa.",0,2 days ago,hot job,no logo,0,graduate in life sciences - freshers can apply prior experience in consulting or pharma...
3386,data engineer- open source tech stack | bangalore |,m/s fast and furious consulting,['bangalore/bengaluru'],5-8 yrs,"['azure', 'data engineering', 'python']","10,00,000 - 16,00,000 pa.",0,30+ days ago,premium,logo present,0,5 years of experience in data engineer design and develop new solutions on the azure cl...
3387,analyst,anz banking group,['bangalore/bengaluru'],0-2 yrs,"['communication', 'analytical', 'communication skills', 'customer service', 'banking operations', 'data analytics', 'credit assessment', 'retail asset operations']","50,000 - 3,00,000 pa.",420,5 days ago,hot job,logo present,4.1,"experience:- fresher to 2 years,"
3388,content analyst,refinitiv,['bangalore/bengaluru'],0-2 yrs,"['diagnostics', 'stock exchange', 'finance', 'consulting', 'healthcare', 'data quality', 'content analyst', 'recruitment']",not disclosed,63,6 days ago,none,no logo,4.4,flexibility to work in any shift depending on business requirement experience consultin...
3389,data analyst,the connecting hands consultancy,['sonipat/sonepat'],4-6 yrs,"['agri', 'organic farming', 'sas', 'advanced excel', 'tableau', 'macros', 'machine learning', 'sql']","4,00,000 - 6,00,000 pa.",0,6 days ago,none,no logo,0,"familiarity sap and ms office, python & other presentation tools is advantage, argi bac..."
3390,associate content analyst,refinitiv,['bangalore/bengaluru'],0-2 yrs,"['stock exchange', 'analytical', 'database administration', 'healthcare', 'german', 'customer relationship', 'market data', 'investment banking']",not disclosed,63,7 days ago,none,no logo,4.4,"a second language may also be required, depending on what market is supported and must ..."
3391,content analyst - arabic language,refinitiv,['bangalore/bengaluru'],0-3 yrs,"['automation', 'corporate governance', 'stock exchange', 'finance', 'data collection', 'database administration', 'healthcare', 'data quality']",not disclosed,63,10 days ago,none,no logo,4.4,they should also handle queries pertaining to team and provide expert advice on specifi...
3392,data analyst,ssp solutions,['kolkata'],2-5 yrs,"['scala', 'java', 'python', 'machine learning', 'spark', 'data analysis', 'java data mining', 'big data']","3,00,000 - 7,00,000 pa.",0,10 days ago,none,no logo,0,"data engineer with machine learning/spark/scala and java data mining, data analysis wri..."
3393,mis reporting analyst,daytoday health,['bangalore/bengaluru'],0-2 yrs,"['report generation', 'data analysis', 'customer management', 'system maintenance', 'mis', 'analytical', 'healthcare', 'customer support']",not disclosed,2,15 days ago,none,no logo,4.4,"experience in healthcare would be an added advantagebasics of sql / mysql database, ms ..."
