JobID,Jobtitle,Companies,Locations,Experience,Skills,Salary,Reviews,Age of post,Job type,Logo,Rating,Job Description
1,senior data scientist,eclerx services ltd.,"['pune', ' mumbai (all areas)']",8-13 yrs,"['artificial intelligence', 'machine learning', 'python', 'predictive modeling', 'text analytics', 'natural language processing', 'hypothesis testing', 'database design']","15,00,000 - 20,00,000 pa.",1959,12 days ago,hot job,logo present,3.6,"relevant experience in software delivery, project leadership for large and mid-size cor..."
2,hiring for lead/senior data scientist - morningstar (product based),morningstar,['mumbai (all areas)'],5-9 yrs,"['it skills', 'python', 'testing', 'cloud', 'oracle', 'aws', 'azure', 'data science']",not disclosed,138,12 days ago,hot job,logo present,4.2,senior/lead data scientist experience - 5+yrsnotice period - max 30days the group: morn...
3,data scientist,datacore analytics private limited,"['hyderabad/secunderabad', ' bangalore/bengaluru', ' mumbai (all areas)']",0-5 yrs,"['keras', 'python', 'pytorch', 'nlp', 'scikit learn', 'opencv', 'tensorflow', 'communication']","4,00,000 - 9,00,000 pa.",0,8 days ago,hot job,no logo,0,flexibility in working independently and do needful research whenever requiredgood know...
4,data scientist / analyst - machine learning/deep learning,echoindia,['delhi / ncr'],3-6 yrs,"['cnn dnn', 'apache superset', 'pytorch', 'pyspark', 'pandas', 'python', 'natural language processing', 'grafana']",not disclosed,7,6 days ago,hot job,logo present,4.1,#NAME?
5,senior data scientist - iit/ nit/ bits,algonox technologies,['hyderabad/secunderabad'],2-5 yrs,"['java', 'software development', 'c++', 'nosql', 'microservices', 'data science', 'patterns', 'kubernetes']",not disclosed,8,3 days ago,hot job,logo present,2.4,"educational qualification : b tech/ ms/ phd in computer science, mathematics, statistic..."
6,"sr. data scientist i, sip",invesco,['hyderabad/secunderabad'],4-9 yrs,"['exploratory data analysis', 'artificial intelligence', 'natural language processing', 'sentiment analysis', 'machine learning', 'deep learning', 'data science', 'decision forests']",not disclosed,100,14 days ago,preferred,logo present,4,job summarywe’re a leading independent investment management firm seeking a globally mi...
7,gamma lead data scientist,boston consulting group,"['mumbai', ' new delhi', ' chennai', ' bangalore/bengaluru']",7-12 yrs,"['data analysis', 'operations research', 'data science', 'data management', 'business analytics', 'consulting', 'management consulting', 'business strategy']",not disclosed,39,14 days ago,premium,logo present,2.9,"practice area profile bcg gamma combines innovative skills in computer science, artific..."
8,data scientist,asm technologies,"['kolkata', ' hyderabad/secunderabad', ' ahmedabad', ' chennai', ' bangalore/bengaluru']",3-8 yrs,"['impala', 'python', 'hive', 'spark', 'tableau', 'hadoop', 'data analysis', 'power bi']","5,00,000 - 10,00,000 pa.",137,7 days ago,hot job,logo present,3,qualification: be/ b tech / me/ m tech mba (analytics / it / scm / operations / general...
9,senior data scientist,emrit inc,"['hyderabad/secunderabad', ' bangalore/bengaluru', ' delhi / ncr']",5-10 yrs,"['blockchain', 'sql', 'python', 'data engineering', 'power bi', 'microsoft power bi', 'natural language processing', 'tableau']","25,00,000 - 40,00,000 pa.",0,9 days ago,premium,no logo,0,creating and applying advanced machine learning algorithms to the given dataset and com...
10,co-founder & principal data scientist/senior scientist,benovymed healthcare,"['gurgaon/gurugram', ' delhi / ncr']",3-8 yrs,"['pytorch', 'data science', 'tensorflow', 'cnn', 'r', 'rnn', 'nlp', 'keras']",not disclosed,0,3 days ago,hot job,logo present,0,"required skillsets : - needs to have statistical, mathematical, predictive modeling as ..."
11,data scientist,siemens limited,['gurgaon/gurugram'],0-11 yrs,"['computer science', 'data analysis', 'coding', 'software configuration management', 'mysql', 'debugging', 'machine learning', 'data mining']",not disclosed,1691,none,none,logo present,4.2,you will beresponsible for design of software solutions supplemented with ai/ml based o...
12,sr. data scientist - automl,transorg analytics,['gurgaon/gurugram'],5-8 yrs,"['artificial intelligence', 'computer science', 'big data', 'machine learning', 'statistics', 'analytics']",not disclosed,5,5 days ago,hot job,logo present,1.8,"qualification: bachelors in statistics, economics, math s, computer science, or related..."
13,senior data scientist,aryng,['india'],4-9 yrs,"['random forest', 'sql', 'learning', 'python', 'clustering', 'knn', 'machine learning', 'r']",not disclosed,0,8 days ago,hot job,logo present,0,proficient in python and / or r experience with machine learning models such gradient b...
14,data scientist: advanced analytics,ibm india pvt. limited,['bangalore/bengaluru'],10-12 yrs,"['it skills', 'data science', 'base sas', 'r', 'open source', 'advanced analytics', 'statistical modeling', 'spss']",not disclosed,9304,none,preferred,logo present,4,"introductionas a data scientist at ibm, you will help transform our clients’ data into ..."
15,data scientist / work from home,super india tech mark,['howrah'],0-1 yrs,"['data scientist', 'data mining', 'sql', 'machine - learning', 'tableau', 'analytical', 'c++', 'python']","2,00,000 - more than 3,00,000 pa.",0,3 days ago,none,no logo,0,experience in data mining proven experience as a data scientist or data analyst experie...
16,global medical data scientist,glaxosmithkline pharmaceuticals limited,['bangalore/bengaluru'],2-7 yrs,"['data science', 'r', 'text analytics', 'natural language processing', 'advanced analytics', 'calling', 'machine learning', 'statistical analysis']",not disclosed,829,7 days ago,preferred,logo present,4.3,"conduct text, sentiment, and root cause analyses to answer critical medical business qu..."
17,data scientist,super india tech mark,['bhopal'],0-1 yrs,"['java', 'data analysis', 'data mining', 'sql', 'machine - learning', 'tableau', 'analytical', 'c++']","2,00,000 - 3,25,000 pa.",0,9 days ago,none,no logo,0,experience in data mining proven experience as a data scientist or data analyst experie...
18,data scientist - business analytics,philips india limited,['bangalore/bengaluru'],8-10 yrs,"['process automation', 'cloud computing', 'change management', 'operational excellence', 'business analytics', 'analytical', 'consulting', 'data mining']",not disclosed,519,12 days ago,none,logo present,4,"experience in the areas of analytics, exposure to emerging digital technologies/ landsc..."
19,data scientist,schneider electric india pvt. ltd.,['bangalore/bengaluru'],4-5 yrs,"['computer science', 'data analysis', 'automation', 'manager quality assurance', 'artificial intelligence', 'analytical', 'mysql', 'machine learning']",not disclosed,1298,12 days ago,premium,logo present,4.2,"in-depth understanding and modeling experience in supervised, unsupervised, reinforceme..."
20,data scientist,ibm india pvt. limited,['bangalore/bengaluru'],6-8 yrs,"['it skills', 'cloud', 'aws', 'azure', 'star schema', 'business intelligence', 'snowflake', 'datastage']",not disclosed,9304,15 days ago,preferred,logo present,4,minimum 6-8 years of experience inmodeling and business system design with experience i...
21,senior data scientist,eclerx services ltd.,"['pune', ' mumbai (all areas)']",8-13 yrs,"['artificial intelligence', 'machine learning', 'python', 'predictive modeling', 'text analytics', 'natural language processing', 'hypothesis testing', 'database design']","15,00,000 - 20,00,000 pa.",1959,12 days ago,hot job,logo present,3.6,"relevant experience in software delivery, project leadership for large and mid-size cor..."
22,hiring for lead/senior data scientist - morningstar (product based),morningstar,['mumbai (all areas)'],5-9 yrs,"['it skills', 'python', 'testing', 'cloud', 'oracle', 'aws', 'azure', 'data science']",not disclosed,138,12 days ago,hot job,logo present,4.2,senior/lead data scientist experience - 5+yrsnotice period - max 30days the group: morn...
23,data scientist,datacore analytics private limited,"['hyderabad/secunderabad', ' bangalore/bengaluru', ' mumbai (all areas)']",0-5 yrs,"['keras', 'python', 'pytorch', 'nlp', 'scikit learn', 'opencv', 'tensorflow', 'communication']","4,00,000 - 9,00,000 pa.",0,8 days ago,hot job,no logo,0,flexibility in working independently and do needful research whenever requiredgood know...
24,data scientist / analyst - machine learning/deep learning,echoindia,['delhi / ncr'],3-6 yrs,"['cnn dnn', 'apache superset', 'pytorch', 'pyspark', 'pandas', 'python', 'natural language processing', 'grafana']",not disclosed,7,6 days ago,hot job,logo present,4.1,#NAME?
25,senior data scientist - iit/ nit/ bits,algonox technologies,['hyderabad/secunderabad'],2-5 yrs,"['java', 'software development', 'c++', 'nosql', 'microservices', 'data science', 'patterns', 'kubernetes']",not disclosed,8,3 days ago,hot job,logo present,2.4,"educational qualification : b tech/ ms/ phd in computer science, mathematics, statistic..."
26,"sr. data scientist i, sip",invesco,['hyderabad/secunderabad'],4-9 yrs,"['exploratory data analysis', 'artificial intelligence', 'natural language processing', 'sentiment analysis', 'machine learning', 'deep learning', 'data science', 'decision forests']",not disclosed,100,14 days ago,preferred,logo present,4,job summarywe’re a leading independent investment management firm seeking a globally mi...
27,gamma lead data scientist,boston consulting group,"['mumbai', ' new delhi', ' chennai', ' bangalore/bengaluru']",7-12 yrs,"['data analysis', 'operations research', 'data science', 'data management', 'business analytics', 'consulting', 'management consulting', 'business strategy']",not disclosed,39,14 days ago,premium,logo present,2.9,"practice area profile bcg gamma combines innovative skills in computer science, artific..."
28,data scientist,asm technologies,"['kolkata', ' hyderabad/secunderabad', ' ahmedabad', ' chennai', ' bangalore/bengaluru']",3-8 yrs,"['impala', 'python', 'hive', 'spark', 'tableau', 'hadoop', 'data analysis', 'power bi']","5,00,000 - 10,00,000 pa.",137,7 days ago,hot job,logo present,3,qualification: be/ b tech / me/ m tech mba (analytics / it / scm / operations / general...
29,senior data scientist,emrit inc,"['hyderabad/secunderabad', ' bangalore/bengaluru', ' delhi / ncr']",5-10 yrs,"['blockchain', 'sql', 'python', 'data engineering', 'power bi', 'microsoft power bi', 'natural language processing', 'tableau']","25,00,000 - 40,00,000 pa.",0,9 days ago,premium,no logo,0,creating and applying advanced machine learning algorithms to the given dataset and com...
30,co-founder & principal data scientist/senior scientist,benovymed healthcare,"['gurgaon/gurugram', ' delhi / ncr']",3-8 yrs,"['pytorch', 'data science', 'tensorflow', 'cnn', 'r', 'rnn', 'nlp', 'keras']",not disclosed,0,3 days ago,hot job,logo present,0,"required skillsets : - needs to have statistical, mathematical, predictive modeling as ..."
31,data scientist,siemens limited,['gurgaon/gurugram'],0-11 yrs,"['computer science', 'data analysis', 'coding', 'software configuration management', 'mysql', 'debugging', 'machine learning', 'data mining']",not disclosed,1691,none,none,logo present,4.2,you will beresponsible for design of software solutions supplemented with ai/ml based o...
32,sr. data scientist - automl,transorg analytics,['gurgaon/gurugram'],5-8 yrs,"['artificial intelligence', 'computer science', 'big data', 'machine learning', 'statistics', 'analytics']",not disclosed,5,5 days ago,hot job,logo present,1.8,"qualification: bachelors in statistics, economics, math s, computer science, or related..."
33,senior data scientist,aryng,['india'],4-9 yrs,"['random forest', 'sql', 'learning', 'python', 'clustering', 'knn', 'machine learning', 'r']",not disclosed,0,8 days ago,hot job,logo present,0,proficient in python and / or r experience with machine learning models such gradient b...
34,data scientist: advanced analytics,ibm india pvt. limited,['bangalore/bengaluru'],10-12 yrs,"['it skills', 'data science', 'base sas', 'r', 'open source', 'advanced analytics', 'statistical modeling', 'spss']",not disclosed,9304,none,preferred,logo present,4,"introductionas a data scientist at ibm, you will help transform our clients’ data into ..."
35,data scientist / work from home,super india tech mark,['howrah'],0-1 yrs,"['data scientist', 'data mining', 'sql', 'machine - learning', 'tableau', 'analytical', 'c++', 'python']","2,00,000 - more than 3,00,000 pa.",0,3 days ago,none,no logo,0,experience in data mining proven experience as a data scientist or data analyst experie...
36,global medical data scientist,glaxosmithkline pharmaceuticals limited,['bangalore/bengaluru'],2-7 yrs,"['data science', 'r', 'text analytics', 'natural language processing', 'advanced analytics', 'calling', 'machine learning', 'statistical analysis']",not disclosed,829,7 days ago,preferred,logo present,4.3,"conduct text, sentiment, and root cause analyses to answer critical medical business qu..."
37,data scientist,super india tech mark,['bhopal'],0-1 yrs,"['java', 'data analysis', 'data mining', 'sql', 'machine - learning', 'tableau', 'analytical', 'c++']","2,00,000 - 3,25,000 pa.",0,9 days ago,none,no logo,0,experience in data mining proven experience as a data scientist or data analyst experie...
38,data scientist - business analytics,philips india limited,['bangalore/bengaluru'],8-10 yrs,"['process automation', 'cloud computing', 'change management', 'operational excellence', 'business analytics', 'analytical', 'consulting', 'data mining']",not disclosed,519,12 days ago,none,logo present,4,"experience in the areas of analytics, exposure to emerging digital technologies/ landsc..."
39,data scientist,schneider electric india pvt. ltd.,['bangalore/bengaluru'],4-5 yrs,"['computer science', 'data analysis', 'automation', 'manager quality assurance', 'artificial intelligence', 'analytical', 'mysql', 'machine learning']",not disclosed,1298,12 days ago,premium,logo present,4.2,"in-depth understanding and modeling experience in supervised, unsupervised, reinforceme..."
40,data scientist,ibm india pvt. limited,['bangalore/bengaluru'],6-8 yrs,"['it skills', 'cloud', 'aws', 'azure', 'star schema', 'business intelligence', 'snowflake', 'datastage']",not disclosed,9304,15 days ago,preferred,logo present,4,minimum 6-8 years of experience inmodeling and business system design with experience i...
41,senior data scientist,vijaya management services,['pune'],3-7 yrs,"['databricks', 'big data', 'presentation', 'neural networks', 'spark', 'learning', 'python', 'hive']","5,00,000 - 15,00,000 pa.",0,14 days ago,hot job,no logo,0,3+ years practical experience with advanced machine learning techniques and big data te...
42,senior data scientist,publicis groupe,['bangalore/bengaluru'],2-5 yrs,"['computer science', 'deep learning', 'interpersonal skills', 'git', 'data science', 'machine learning', 'customer experience', 'big data']",not disclosed,56,none,none,no logo,3.4,this position is in the data science team under the digital experience organization. we...
43,senior data scientist,zendrive inc,['bangalore/bengaluru'],2-7 yrs,"['data analysis', 'prototype', 'data science', 'talent acquisition', 'analytical', 'machine learning', 'signal processing', 'data collection']",not disclosed,0,5 days ago,none,no logo,0,bs / ms with a minimum 5 to 7 years experience as a data scientist or minimum of 2 year...
44,senior data scientist,ormae llp,['bangalore/bengaluru'],2-7 yrs,"['r', 'python', 'sql', 'tensorflow', 'mongodb', 'spark', 'tableau', 'machine learning']",not disclosed,0,6 days ago,hot job,no logo,0,should have 3-10 years of experience in data science algorithm design and implementatio...
45,senior data scientist,walmart labs,['bangalore/bengaluru'],8-10 yrs,"['it skills', 'python', 'data science', 'machine learning', 'cloud', 'big data', 'cloud computing', 'data analysis']",not disclosed,664,6 days ago,none,logo present,4.2,"bachelors degree in statistics, economics, analytics, mathematics and 9 years experienc..."
46,senior data scientist,decision culture,['bangalore/bengaluru(hsr layout)'],6-11 yrs,"['it skills', 'java', 'python', 'software development', 'data science', 'machine learning', 'cloud', 'artificial intelligence']","15,00,000 - 30,00,000 pa.",2,none,hot job,no logo,4.8,"masters or equivalent advanced degree in computer science, computer engineering, statis..."
47,senior data scientist,execboardinasia,['bangalore/bengaluru'],5-10 yrs,"['data science', 'model development', 'deployment', 'mentor', 'new product development', 'management', 'monitoring']",not disclosed,0,none,none,no logo,0,your experience in deploying and monitoring the performance of the models in production...
48,data scientist,netapp,['bangalore/bengaluru'],5-10 yrs,"['product management', 'data analysis', 'automation', 'consulting', 'billing', 'cloud', 'business intelligence', 'crm']",not disclosed,108,13 days ago,premium,logo present,4.1,a bachelor s degree in engineering or science is requiredknowledge of public cloud-base...
49,data scientist,enquero,"['hyderabad/secunderabad', ' bangalore/bengaluru']",4-8 yrs,"['it skills', 'python', 'testing', 'data science', 'machine learning', 'text mining', 'github', 'neural networks']",not disclosed,17,2 days ago,none,no logo,3.9,responsibilities as a data scientist in enquero’s data analytics unit you will be part ...
50,associate data scientist,enquero,"['hyderabad/secunderabad', ' bangalore/bengaluru']",3-6 yrs,"['it skills', 'python', 'testing', 'data science', 'github', 'blog writing', 'business analyst', 'agile development']",not disclosed,17,2 days ago,none,no logo,3.9,"bachelor s degree from a tier 1 (iit, nit, bits) or tier 2 colleges(ou, jntu, vjit, vel..."
51,data scientist,novartis healthcare pvt. ltd.,['hyderabad/secunderabad'],6-11 yrs,"['data science', 'predictive modeling', 'sas', 'customer segmentation', 'natural language processing', 'neural networks', 'machine learning', 'analytics']","10,00,000 - 20,00,000 pa.",659,3 days ago,preferred,logo present,4.2,masters (or bachelors from a top tier university) in a quantitative discipline (e.g8+ y...
52,senior data scientist,colgate palmolive,['mumbai'],6-10 yrs,"['tensorflow', 'java', 'c++', 'postgresql', 'natural language processing', 'programming', 'machine learning', 'db2']",not disclosed,396,9 days ago,hot job,logo present,4.3,what is the purpose of your role?this role is expected to apply strong expertise in dat...
53,senior data scientist,adviserlogic,['mumbai'],5-10 yrs,"['it skills', 'java', 'python', 'artificial intelligence', 'devops', 'jenkins', 'aws', 'computer science']",not disclosed,0,14 days ago,none,no logo,0,"the role: as a senior data scientist, you will be a leading expert and primary contribu..."
54,data scientist / sr. data scientist,essentially ai private ltd,['mumbai (all areas)'],3-8 yrs,"['keras', 'nlp', 'amazon textract', 'lstm', 'nosql', 'sql', 'cnn', 'tensorflow']","8,00,000 - 18,00,000 pa.",0,3 days ago,hot job,no logo,0,"skills: python, r, sql, nosql, machine learning, artificial intelligence, computer visi..."
55,junior data scientist,happymonk technology pvt. ltd.,['bangalore/bengaluru'],1-3 yrs,"['it skills', 'java', 'python', 'testing', 'data science', 'machine learning', 'artificial intelligence', 'r']",not disclosed,0,none,hot job,logo present,0,"we are looking for an experienced ai specialist to join the revolution, using deep lear..."
56,senior data engineer / senior data scientist,allianz services pvt ltd,['india'],7-12 yrs,"['work from home', 'kubernetes', 'ci/cd pipelines', 'nlp', 'kafka', 'machine learning', 'devops']",not disclosed,3,14 days ago,hot job,logo present,1.7,"work from home opportunity!de ci / cd pipelines, dockers, kubernetes, cloud-based envir..."
57,sr data scientist,aptagrim consulting llp,['hyderabad/secunderabad'],5-10 yrs,"['computer science', 'pmp', 'product engineering', 'coding', 'machine learning', 'spss', 'risk management', 'data mining']",not disclosed,2,none,none,logo present,2.1,"experience in translating stated business needs into problem statements, prototypes, an..."
58,sr. data scientist,soulpage it solutions,['hyderabad/secunderabad'],4-6 yrs,"['it skills', 'python', 'data science', 'machine learning', 'big data', 'deep learning', 'metadata', 'system programming']",not disclosed,0,none,none,no logo,0,"key skills required: data science, machine learning, python, deep learning, al / ml, nl..."
59,senior data scientist - hyderabad,omega whitespace health,['hyderabad/secunderabad'],8-12 yrs,"['data science', 'regression analysis', 'r', 'logistic regression', 'github', 'web technologies', 'statistical modeling', 'sql server']",not disclosed,0,2 days ago,none,logo present,0,job title: senior data scientistjob type: permanent/full timeexp required: 8-12 yearsjo...
60,senior data scientist - hyderabad,omega whitespace health,['hyderabad/secunderabad'],8-12 yrs,"['data science', 'regression analysis', 'r', 'logistic regression', 'github', 'web technologies', 'statistical modeling', 'sql server']",not disclosed,0,2 days ago,preferred,logo present,0,job title: senior data scientistjob type: permanent/full timeexp required: 8-12 yearsjo...
61,senior data scientist,aibridge ml pvt ltd,['hyderabad/secunderabad(madhapur)'],3-8 yrs,"['azure', 'gcp', 'artificial intelligence', 'aws', 'it skills', 'cloud', 'project implementation']","5,00,000 - 15,00,000 pa.",0,8 days ago,hot job,logo present,0,key skills:3+ years of hard-core ai expertise.at least 2 ai project implementation expe...
62,senior data scientist,wolters kluwer financial services,"['kalyani', ' nagar', ' pune']",5-9 yrs,"['computer science', 'compliance', 'linux', 'coding', 'shell scripting', 'machine learning', 'data structures', 'financial services']",not disclosed,7,5 days ago,none,no logo,3.7,"responsibility lead and manage development, operations and maintenance of portfolio of ..."
63,senior data scientist,wolters kluwer india pvt ltd,"['kalyani', ' pune']",5-9 yrs,"['it skills', 'java', 'python', 'testing', 'data science', 'machine learning', 'cloud', 'computer science']",not disclosed,71,6 days ago,none,logo present,3.6,"responsibility lead and manage development, operations and maintenance of portfolio of ..."
64,lead - data scientist - pune,crisil limited,['pune'],6-10 yrs,"['deep learning', 'java', 'data science', 'scala', 'neural networks', 'natural language processing', 'machine learning', 'python']","10,00,000 - 15,00,000 pa.",519,13 days ago,hot job,logo present,3.7,"a phd, or masters or equivalent work experience, with a solid background in machine lea..."
65,"data scientist/ data analyst for pune, kolkata, chennai, wfh",nihilent limited,"['kolkata', ' pune', ' chennai']",4-9 yrs,"['data science', 'data analysis', 'analytics']","5,00,000 - 12,00,000 pa.",184,none,hot job,logo present,3.3,"data scientist/ data analyst data scientist/ data analyst, ml, analytics, for pune, kol..."
66,sr. engineer - data scientist,seagate,['pune(kharadi)'],7-12 yrs,"['data science', 'programming', 'deep learning', 'pytorch', 'tensorflow', 'r', 'artificial intelligence', 'advanced analytics']",not disclosed,30,7 days ago,hot job,logo present,3.2,"experience with machine learning frameworks (tensorflow, pytorch, scikit-learn, etc.)ex..."
67,data scientist - process mining,shell india markets private limited,['chennai'],5-7 yrs,"['predictive modeling', 'data science', 'data scientist', 'advanced analytics', 'statistical modeling', 'tableau', 'sql', 'python']",not disclosed,596,13 days ago,hot job,logo present,4.1,develop and deliver process mining training as required experience working with process...
68,associate data scientist,shell india markets private limited,['chennai'],5-7 yrs,"['data science', 'retail analytics', 'data scientist']",not disclosed,596,9 days ago,hot job,logo present,4.1,"candidate should be able to ask the right questions, ability to move from data to insig..."
69,data scientist - retail,shell india markets private limited,['chennai'],5-7 yrs,"['data science', 'data analysis', 'multivariate analysis', 'r', 'factor analysis', 'python', 'time series', 'decision trees']",not disclosed,596,7 days ago,hot job,logo present,4.1,the rolegeneral position definitionthis role will drive analytics and data science for ...
70,associate data scientist - retail,shell india markets private limited,['chennai'],3-7 yrs,"['data science', 'multivariate analysis', 'factor analysis', 'marketing mix modeling', 'natural language processing', 'reinforcement learning', 'neural networks', 'market basket analysis']",not disclosed,596,7 days ago,hot job,logo present,4.1,provide deep business expertise preferably oil & gas - upstream or downstream businesse...
71,associate data scientist,shell india markets private limited,['chennai'],3-5 yrs,"['data science', 'r', 'data analysis', 'sap hana', 'machine learning', 'sql', 'data science models']",not disclosed,596,9 days ago,hot job,logo present,4.1,"candidate should be highly self-driven: able to ask the right questions, ability to mov..."
72,data scientist - retail,shell india markets private limited,['chennai'],5-7 yrs,"['data science', 'multivariate analysis', 'r', 'exploratory data analysis', 'factor analysis', 'time series', 'decision trees', 'sentiment analysis']",not disclosed,596,9 days ago,hot job,logo present,4.1,the rolegeneral position definitionthis role will drive analytics and data science for ...
73,associate data scientist - retail,shell india markets private limited,['chennai'],3-7 yrs,"['data science', 'multivariate analysis', 'factor analysis', 'marketing mix modeling', 'natural language processing', 'reinforcement learning', 'neural networks', 'market basket analysis']",not disclosed,596,14 days ago,hot job,logo present,4.1,provide deep business expertise preferably oil & gas - upstream or downstream businesse...
74,managerclinical data scientist,pfizer limited,['chennai'],5-9 yrs,"['biometrics', 'data management', 'query management', 'research', 'monitoring', 'clinical data']",not disclosed,1187,14 days ago,none,logo present,4.2,"as part of the data monitoring and management (dmm) group, an integral delivery unit wi..."
75,data scientist / python developer- analytics solutions- volvo trucks,ve commercial vehicles limited,['bangalore/bengaluru'],1-2 yrs,"['algorithms', 'python', 'cloud deployment', 'nginx', 'python django', 'data management', 'data analysis', 'data representation']",not disclosed,1300,10 days ago,hot job,logo present,4.1,"2 years of experience in applications development, specifically web applications in the..."
76,data scientist,shell india markets private limited,['chennai'],5-7 yrs,"['retail', 'retail analytics', 'data science', 'hp data protector', 'e-commerce', 'representative', 'customer experience', 'operations']",not disclosed,596,6 days ago,none,no logo,4.1,the role general position definition this role will drive analytics and data science fo...
77,data scientist / data analyst – mobile gaming industry,witzeal technologies private limited,['gurgaon/gurugram'],4-7 yrs,"['google analytics', 'etl tools', 'big data', 'hypothesis testing', 'machine learning', 'statistics', 'mixpanel', 'sql']","10,00,000 - 20,00,000 pa.",6,14 days ago,premium,no logo,5,proven experience in churning and managing high volume of data and drawing actionable i...
78,data scientist,reliance jio infocomm ltd.,['mumbai'],5-9 yrs,"['report generation', 'data analysis', 'data management', 'machine learning', 'data structures', 'business modeling', 'mobile applications', 'data mining']",not disclosed,9436,9 days ago,none,logo present,4,the candidate should be able to apply business knowledge to performan ideal candidate s...
79,data scientist,info origin technologies pvt ltd,"['gondiya', ' pune', ' bangalore/bengaluru']",2-7 yrs,"['artificial intelligence', 'machine learning', 'data science', 'big data', 'digital signal processing', 'matlab', 'statistics', 'mathmatica']",not disclosed,0,10 days ago,premium,no logo,0,"hands-on experience in implementation, performance tuning, and machine learning model d..."
80,data scientist,greatlearning,"['pune', ' chennai', ' bangalore/bengaluru']",3-5 yrs,"['data cleansing', 'automation', 'data analysis', 'tableau', 'manager program management', 'data collection', 'feasibility analysis', 'management']",not disclosed,16,2 days ago,none,no logo,3.8,relevant background: graduate with an exceptional academic track record competency: (to...
81,data scientist,greatlearning,"['pune', ' chennai', ' bangalore/bengaluru']",3-5 yrs,"['data cleansing', 'automation', 'data analysis', 'tableau', 'manager program management', 'data collection', 'feasibility analysis', 'management']",not disclosed,16,2 days ago,none,no logo,3.8,relevant background: graduate with an exceptional academic track record competency: (to...
82,sr. data scientist,spectrum talent management pvt. ltd,['bangalore/bengaluru'],3-8 yrs,"['tkinter', 'matplotlib', 'spacy', 'tensor low', 'css', 'opencv', 'nosql', 'scikit']","5,50,000 - 12,00,000 pa.",0,14 days ago,hot job,logo present,0,eligible candidate should have a total industry / academic experience no more than 5 ye...
83,senior data scientist,innovaccer,['noida'],5-10 yrs,"['computer science', 'health insurance', 'san', 'team management', 'pdf', 'healthcare', 'wellness', 'life sciences']",not disclosed,44,2 days ago,none,no logo,2.9,your role the technology that once promised to simplify patient care has brought more i...
84,"senior data scientist opportunity (remote) @ fourkites, chennai",fourkites india pvt ltd,['chennai(ramapuram)'],4-7 yrs,"['pytorch', 'tensorflow', 'c', 'algorithms', 'artificial intelligence', 'data structures', 'database', 'computer vision']",not disclosed,5,4 days ago,hot job,logo present,2.9,"as a senior data scientist at fourkites, you will work with a team of data scientists a..."
85,data scientist,kie square analytics,['delhi / ncr'],4-8 yrs,"['sql', 'data science', 'data analysis', 'predictive modeling', 'statistical analysis', 'python', 'it skills', 'ai']",not disclosed,0,5 days ago,hot job,logo present,0,good knowledge of model building from scratch to implementation experience of minimum 3...
86,data scientist,efftronics systems pvt. ltd.,['mangalagiri'],5-10 yrs,"['computer science', 'data analysis', 'c++', 'statistical analysis', 'data collection', 'agile', 'predictive modeling', 'data mining']",not disclosed,121,14 days ago,none,no logo,3.5,freshers are preferred
87,senior data scientist,kanini software solutions india private limited,"['chennai', ' coimbatore']",9-14 yrs,"['sap apo', 'data wrangling', 'aps', 'python', 'kinaxis', 'oracle vcp', 'pyspark', 'anaplan']",not disclosed,3,9 days ago,none,no logo,2.8,"skill required: prior aps experience (o9 {preferred}, jda esp, sap apo, kinaxis, logili..."
88,senior data scientist,mintfin solutions,"['hyderabad/secunderabad', ' bangalore/bengaluru']",5-10 yrs,"['analytical', 'open cv', 'analytics', 'python', 'caffe', 'pytorch', 'tensor flow', 'theano']",not disclosed,0,15 days ago,hot job,logo present,0,• background in computer science/ computer applications or any quantitative discipline ...
89,immediate hiring for data scientist (2-6 years of experience),hyper thread solutions pvt. ltd.,['hyderabad/secunderabad'],2-6 yrs,"['pytorch', 'data science', 'nlp', 'artificial intelligence', 'keras', 'computer vision', 'machine learning', 'statistics']",not disclosed,5,10 days ago,hot job,no logo,4.6,must have worked hands on in either one of these areas - chatbots / computer vision / n...
90,network programmer / data scientists,ui commons academy india private limited,"['pune', ' mumbai (all areas)']",3-4 yrs,"['communication skills', 'presentation skills', 'data visualization', 'advanced excel', 'creating dashboards', 'tableau', 'tcl', 'python']","2,50,000 - 5,50,000 pa.",0,4 days ago,hot job,no logo,0,the candidate should scrutinize information using data analysis toolsthe meaningful res...
91,lead data scientist,publicis groupe,['bangalore/bengaluru'],2-5 yrs,"['computer science', 'deep learning', 'interpersonal skills', 'git', 'data science', 'machine learning', 'model development', 'big data']",not disclosed,56,none,none,no logo,3.4,this position is in the data science team under the digital experience organization. we...
92,principal data scientist (marketpalce),walmart labs,['bangalore/bengaluru'],10-15 yrs,"['computer science', 'data science', 'coding', 'machine learning', 'scala', 'e-commerce', 'stakeholder management', 'analytics']",not disclosed,664,6 days ago,none,logo present,4.2,o solid experience working with state-of-the-art supervised and unsupervised machine le...
93,data scientist,accruent,['bangalore/bengaluru'],4-6 yrs,"['it skills', 'python', 'machine learning', 'oracle', 'html', 'css', 'javascript', 'cognos']",not disclosed,0,none,none,no logo,0,why you want to work for our engineering team: the engineering team is vital to the suc...
